"Profile_key","Age","T_stage","N_stage","M_stage","Surgery","Radiation","Risk_36m","Risk_60m","Risk_120m","Linear_predictor"
"<55|T1|N0|M0|No|No","<55","T1","N0","M0","No","No",0.0107924137235891,0.0174275682059839,0.0329797814223435,0
"55-69|T1|N0|M0|No|No","55-69","T1","N0","M0","No","No",0.0169842482258822,0.027373103007621,0.0515646729429144,0.456575094893659
">=70|T1|N0|M0|No|No",">=70","T1","N0","M0","No","No",0.0410747713973303,0.0656983182521682,0.121574982923693,1.35202780398171
"<55|T2|N0|M0|No|No","<55","T2","N0","M0","No","No",0.0161653781476276,0.0260600291936852,0.0491208076586999,0.406745383215017
"55-69|T2|N0|M0|No|No","55-69","T2","N0","M0","No","No",0.0253999723112734,0.0408285351885809,0.0764351404959976,0.863320478108676
">=70|T2|N0|M0|No|No",">=70","T2","N0","M0","No","No",0.0610507618450516,0.0970286256692775,0.176907083499551,1.75877318719673
"<55|T3|N0|M0|No|No","<55","T3","N0","M0","No","No",0.0293068781406356,0.047050656000364,0.0878294988753456,1.00839373925482
"55-69|T3|N0|M0|No|No","55-69","T3","N0","M0","No","No",0.0458716040040447,0.0732589564940687,0.135084467414598,1.46496883414848
">=70|T3|N0|M0|No|No",">=70","T3","N0","M0","No","No",0.108608590872057,0.169959109787219,0.29905550860859,2.36042154323653
"<55|T4|N0|M0|No|No","<55","T4","N0","M0","No","No",0.047134717566975,0.0752459286765256,0.138618292807095,1.49278949249243
"55-69|T4|N0|M0|No|No","55-69","T4","N0","M0","No","No",0.073388007983521,0.116173391600117,0.209874481428125,1.94936458738609
">=70|T4|N0|M0|No|No",">=70","T4","N0","M0","No","No",0.170242086359594,0.260934752291978,0.438286832851751,2.84481729647415
"<55|T1|N1|M0|No|No","<55","T1","N1","M0","No","No",0.0325683869275841,0.052233040563785,0.0972684432131112,1.11558759765958
"55-69|T1|N1|M0|No|No","55-69","T1","N1","M0","No","No",0.0509276249709489,0.081202638721658,0.149171030655524,1.57216269255323
">=70|T1|N1|M0|No|No",">=70","T1","N1","M0","No","No",0.120129641290078,0.187271307480735,0.326678123238467,2.46761540164129
"<55|T2|N1|M0|No|No","<55","T2","N1","M0","No","No",0.0485131738885131,0.0774124801807463,0.142463654462185,1.52233298087459
"55-69|T2|N1|M0|No|No","55-69","T2","N1","M0","No","No",0.0755032770328907,0.119440046812535,0.215435623910551,1.97890807576825
">=70|T2|N1|M0|No|No",">=70","T2","N1","M0","No","No",0.174872192259978,0.267605058409361,0.44791748427768,2.87436078485631
"<55|T3|N1|M0|No|No","<55","T3","N1","M0","No","No",0.0867653567892618,0.136754230024208,0.244599009784416,2.12398133691439
"55-69|T3|N1|M0|No|No","55-69","T3","N1","M0","No","No",0.133491041497563,0.207173505112029,0.357779714889865,2.58055643180805
">=70|T3|N1|M0|No|No",">=70","T3","N1","M0","No","No",0.295889506510208,0.433573763175625,0.661837772323025,3.47600914089611
"<55|T4|N1|M0|No|No","<55","T4","N1","M0","No","No",0.136986565948382,0.212348973878011,0.365752824881682,2.60837709015201
"55-69|T4|N1|M0|No|No","55-69","T4","N1","M0","No","No",0.207510337842165,0.313964489695392,0.51265796519374,3.06495218504567
">=70|T4|N1|M0|No|No",">=70","T4","N1","M0","No","No",0.434162791289557,0.602530498850332,0.827940472273945,3.96040489413372
"<55|T1|N0|M1|No|No","<55","T1","N0","M1","No","No",0.0668397718732934,0.106031486501747,0.192489914901827,1.85242399066794
"55-69|T1|N0|M1|No|No","55-69","T1","N0","M1","No","No",0.103456949559112,0.162172831248733,0.286459908260365,2.3089990855616
">=70|T1|N0|M1|No|No",">=70","T1","N0","M1","No","No",0.23462704088427,0.351592618242953,0.562374000274273,3.20445179464965
"<55|T2|N0|M1|No|No","<55","T2","N0","M1","No","No",0.0986850026797347,0.154935626707497,0.274656866622929,2.25916937388296
"55-69|T2|N0|M1|No|No","55-69","T2","N0","M1","No","No",0.15127776238227,0.233373214123555,0.39765419184719,2.71574446877661
">=70|T2|N0|M1|No|No",">=70","T2","N0","M1","No","No",0.330752870324382,0.478312579538861,0.710955305405711,3.61119717786467
"<55|T3|N0|M1|No|No","<55","T3","N0","M1","No","No",0.172735934278315,0.264530360726231,0.443488050698372,2.86081772992276
"55-69|T3|N0|M1|No|No","55-69","T3","N0","M1","No","No",0.258709733622159,0.384325198120076,0.603547388282699,3.31739282481641
">=70|T3|N0|M1|No|No",">=70","T3","N0","M1","No","No",0.519521862900731,0.695042966338099,0.896200832658482,4.21284553390447
