"Item","Value"
"Model","Model B: T stage"
"Predictors","Age, T_stage, N_stage, M_stage, Surgery, Radiation"
"Prediction_horizons_months","36, 60, 120"
"Number_of_lookup_profiles","192"
"Coefficient_Age=55-69","0.4565750948936591"
"Coefficient_Age=>=70","1.3520278039817148"
"Coefficient_T_stage=T2","0.4067453832150166"
"Coefficient_T_stage=T3","1.0083937392548166"
"Coefficient_T_stage=T4","1.4927894924924316"
"Coefficient_N_stage=N1","1.1155875976595757"
"Coefficient_M_stage=M1","1.8524239906679387"
"Coefficient_Surgery=Yes","-1.0160387362761534"
"Coefficient_Radiation=Yes","0.4036504395990664"
